"","cores","basic_linear","chain","binary_tree"
"1",2,0.19,0.2,0.21
"2",3,0.38,0.41,0.41
"3",4,0.19,0.21,0.34
"4",5,0.26,0.28,0.43
"5",6,0.3,0.36,0.49
"6",7,0.35,0.45,0.58
"7",8,0.52,0.6,0.72
"8",9,0.87,0.89,0.92
"9",10,0.87,0.93,1.05
"10",11,0.98,0.94,0.91
"11",12,0.85,0.93,0.94
"12",13,1.02,0.95,1
"13",14,0.93,0.87,0.94
"14",15,1.03,0.95,0.95
"15",16,1.54,1.17,1.21
"16",17,2.42,2.53,2.12
"17",18,2.18,2.24,2.25
"18",19,2.18,2.36,2.07
"19",20,2.28,2.44,2.07
"20",21,2.29,2.33,2.16
"21",22,2.34,2.26,2.1
"22",23,2.44,2.36,2.05
"23",24,2.55,2.28,2.08
"24",25,2.27,2.17,1.81
"25",26,2.35,2.18,1.82
"26",27,2.33,2.17,1.74
"27",28,2.41,2.2,1.76
"28",29,2.7,2.13,1.8
"29",30,2.68,2.13,1.78
"30",31,2.79,2.11,1.93
"31",32,3.29,2.61,2.38
"32",33,4.84,4.49,4.07
"33",34,4.75,4.56,3.81
"34",35,4.6,4.48,3.84
"35",36,4.65,4.68,3.77
"36",37,4.25,4.42,3.61
"37",38,4.18,4.23,3.6
"38",39,4.24,4.23,3.53
"39",40,4.27,4.36,3.57
"40",41,4.55,4.2,3.32
"41",42,4.43,4.14,3.18
"42",43,4.48,3.65,3.33
"43",44,4.36,3.55,3.17
"44",45,4.46,3.8,3.24
"45",46,4.67,3.82,3.25
"46",47,4.83,4.03,3.42
"47",48,4.95,4.13,3.31
