cores,basic_linear,chain,binary_tree
2,0.37,0.40,0.38
3,0.65,0.56,0.63
4,0.32,0.35,0.74
5,0.51,0.51,0.68
6,0.63,0.69,0.86
7,0.69,0.86,0.87
8,1.15,1.01,0.93
9,1.76,1.58,1.15
10,1.83,1.44,1.50
11,1.34,1.50,1.16
12,1.51,1.62,1.19
13,1.41,2.03,1.16
14,1.53,1.36,1.20
15,1.62,1.44,1.12
16,1.94,1.64,1.50
17,2.10,2.11,1.46
18,2.15,2.22,1.61
19,2.01,2.19,1.46
20,2.29,2.23,1.48
21,2.22,2.08,1.38
22,2.23,2.22,1.54
23,2.21,2.31,1.40
24,2.51,2.32,1.43
25,2.03,2.33,1.34
26,2.27,2.54,1.55
27,2.15,2.55,1.44
28,2.27,2.49,1.54
29,2.25,2.43,1.51
30,2.28,2.35,1.58
31,2.19,2.41,1.56
32,3.42,3.01,2.04
33,5.26,4.89,3.79
34,5.08,4.84,3.89
35,4.99,4.79,3.73
36,5.05,5.10,3.57
37,5.02,5.01,3.47
38,5.08,4.67,3.52
39,5.00,4.70,3.43
40,5.05,4.91,3.34
41,4.98,4.83,3.26
42,5.03,4.88,3.31
43,4.87,4.51,3.21
44,5.07,4.65,3.16
45,4.98,4.67,3.13
46,5.15,4.75,3.15
47,5.15,4.73,3.09
48,5.19,4.74,3.02
