cores,basic_linear,binomial,sync
2,0.40,0.36,0.81
3,0.40,0.41,1.55
4,0.43,0.75,1.70
5,0.64,0.63,2.20
6,0.63,0.72,2.72
7,0.76,0.68,3.17
8,0.60,0.80,3.95
9,0.55,0.70,4.34
10,0.58,0.83,4.97
11,0.75,0.68,5.53
12,0.69,0.79,5.64
13,0.84,0.72,6.34
14,0.87,0.76,6.74
15,1.24,0.67,6.96
16,1.21,0.85,7.63
17,1.13,0.78,7.80
18,1.19,0.84,8.73
19,1.22,0.77,9.35
20,1.25,0.80,9.23
21,1.40,0.81,9.88
22,1.45,0.80,10.42
23,1.61,0.74,11.30
24,1.57,0.81,11.69
25,1.51,0.76,12.43
26,1.40,0.83,12.74
27,1.35,0.81,13.37
28,1.16,0.96,14.37
29,1.14,0.88,14.62
30,1.00,0.91,15.71
31,0.93,0.87,16.26
32,1.24,1.05,17.96
33,1.16,0.95,20.05
34,1.04,0.97,21.19
35,1.00,0.97,21.71
36,0.89,0.98,22.76
37,0.78,0.93,23.33
38,0.71,0.97,24.26
39,0.66,0.95,24.82
40,0.60,1.01,25.61
41,0.54,0.94,26.63
42,0.52,0.97,27.19
43,0.51,0.94,27.90
44,0.44,1.04,28.32
45,0.45,0.98,28.89
46,0.41,0.99,30.05
47,0.44,0.96,31.11
48,0.41,1.06,31.34
