Processes,Size,Time,StdDev
1,1000,3.76293,0.0167754
2,2000,3.75822,0.0171627
3,3000,3.75108,0.0120429
4,4000,3.75047,0.0136744
5,5000,3.79015,0.0654464
6,6000,3.76764,0.0194064
7,7000,3.77986,0.0431739
8,8000,3.78651,0.0442863
9,9000,3.78597,0.044053
10,10000,3.79996,0.0626754
11,11000,3.80521,0.0348425
12,12000,3.80261,0.018811
13,13000,3.81887,0.0454009
14,14000,3.80617,0.01646
15,15000,3.8383,0.0526389
16,16000,3.81234,0.0201555
17,17000,3.85084,0.0246375
18,18000,3.84901,0.0752528
19,19000,3.868,0.0771026
20,20000,3.82767,0.0269867
21,21000,3.83783,0.03275
22,22000,3.83414,0.0170272
23,23000,3.84194,0.0397091
24,24000,3.87826,0.0576999
25,25000,3.89259,0.0392585
26,26000,3.86951,0.0451277
27,27000,3.89641,0.00586103
28,28000,3.91159,0.0255091
29,29000,3.88541,0.04938
30,30000,3.90852,0.0676931
31,31000,3.89617,0.0668172
32,32000,3.89428,0.0293298
33,33000,3.91822,0.0237516
34,34000,3.92284,0.0544055
35,35000,3.88336,0.0416239
36,36000,3.92368,0.0693254
37,37000,3.94752,0.0439055
38,38000,3.94705,0.0739334
39,39000,3.95148,0.0634643
40,40000,3.93301,0.0481635
41,41000,3.92505,0.0526125
42,42000,3.92418,0.0522777
43,43000,3.96653,0.0666261
44,44000,3.92012,0.052835
45,45000,3.99447,0.0678376
46,46000,4.06228,0.241246
47,47000,3.93322,0.0354585
48,48000,3.9504,0.0321492
