Threads,Size,Time,StdDev
1,2000,14.9559,0.0104096
2,2000,7.97203,0.0265235
3,2000,5.35739,0.00803847
4,2000,4.03963,0.00761042
5,2000,3.25521,0.00184544
6,2000,2.7393,0.00354127
7,2000,2.37584,0.00334986
8,2000,2.10799,0.00348981
9,2000,1.89562,0.00291383
10,2000,1.73041,0.00331647
11,2000,1.59166,0.00204603
12,2000,1.48053,0.00534651
13,2000,1.38351,0.00182035
14,2000,1.29992,0.00183495
15,2000,1.22815,0.0018596
16,2000,1.17182,0.00804073
17,2000,1.11088,0.0019776
18,2000,1.06406,0.00215093
19,2000,1.02362,0.00721488
20,2000,0.984053,0.00532129
21,2000,0.948885,0.00518896
22,2000,0.916794,0.00165843
23,2000,0.890977,0.0059924
24,2000,0.859975,0.00238714
